time,flux
1325.2969604950604,1.4641956e+06
1325.2983493645327,1.4643365e+06
1325.299738234005,1.4643485e+06
1325.301127103477,1.4643674e+06
1325.3025159730657,1.464256e+06
1325.303904842538,1.4644681e+06
1325.3052937121265,1.4643586e+06
1325.3066825815986,1.4643564e+06
1325.3080714511873,1.4645452e+06
1325.309460320776,1.4645898e+06
1325.310849190248,1.4641426e+06
1325.3122380598365,1.4642372e+06
1325.3136269294255,1.464118e+06
1325.3150157990146,1.4644961e+06
1325.3164046686034,1.4647922e+06
1325.3177935381912,1.4643516e+06
1325.3191824077803,1.464436e+06
1325.320571277369,1.4648829e+06
1325.3219601469568,1.4644084e+06
1325.3233490165462,1.4645764e+06
1325.324737886135,1.4643562e+06
1325.3261267557227,1.4644612e+06
1325.3275156254285,1.4648316e+06
1325.328904495017,1.4643358e+06
1325.3302933647215,1.46458e+06
1325.3316822343108,1.4647416e+06
1325.3330711040164,1.4642976e+06
1325.3344599736051,1.4643445e+06
1325.33584884331,1.4645501e+06
1325.3372377130152,1.4645985e+06
1325.3386265826039,1.4643254e+06
1325.3400154523088,1.4645778e+06
1325.3414043220137,1.4644562e+06
1325.3427931917188,1.4647388e+06
1325.344182061424,1.4646368e+06
1325.3455709311288,1.4644345e+06
1325.3469598008346,1.464265e+06
1325.3483486705395,1.4644899e+06
1325.349737540244,1.4643112e+06
1325.3511264099498,1.4646009e+06
1325.3525152796547,1.4645555e+06
1325.3539041494755,1.4649164e+06
1325.355293019181,1.464552e+06
1325.3566818888862,1.4645869e+06
1325.3580707587068,1.4648991e+06
1325.3594596284124,1.46447e+06
1325.3608484982342,1.4645811e+06
1325.3622373679384,1.464578e+06
1325.3636262377604,1.4647111e+06
1325.3650151075826,1.4646478e+06
1325.366403977287,1.4645606e+06
1325.3677928471084,1.4643675e+06
1325.3691817169306,1.4646291e+06
1325.3705705867512,1.4645825e+06
1325.3719594565728,1.4643282e+06
1325.373348326395,1.4645722e+06
1325.3747371962163,1.4645411e+06
1325.3761260660376,1.4645919e+06
1325.3775149358592,1.4648281e+06
1325.3789038056807,1.4645341e+06
1325.380292675502,1.4645388e+06
1325.3816815454397,1.4644971e+06
1325.383070415262,1.4646528e+06
1325.3844592850835,1.4644778e+06
1325.3858481550205,1.4646605e+06
1325.3872370248428,1.4644744e+06
1325.3886258947805,1.464497e+06
1325.3900147646013,1.4647022e+06
1325.39140363454,1.4645972e+06
1325.3927925043613,1.4645084e+06
1325.3941813742986,1.4644808e+06
1325.3955702442372,1.4645192e+06
1325.396959114175,1.4643159e+06
1325.3983479841122,1.4645154e+06
1325.3997368539342,1.4647222e+06
1325.4011257238726,1.4644205e+06
1325.4025145938099,1.4646791e+06
1325.4039034637476,1.4645022e+06
1325.4052923336862,1.4645388e+06
1325.40668120374,1.4646912e+06
1325.4080700736777,1.464553e+06
1325.4094589436163,1.4647589e+06
1325.410847813554,1.4645929e+06
1325.4122366836084,1.4645888e+06
1325.4136255535464,1.4642491e+06
1325.415014423484,1.4644759e+06
1325.4164032935382,1.464415e+06
1325.4177921634764,1.4645432e+06
1325.4191810335312,1.4643079e+06
1325.4205699034692,1.4645058e+06
1325.4219587735226,1.4645761e+06
1325.4233476435775,1.464629e+06
1325.4247365135154,1.4645599e+06
1325.426125383569,1.4647011e+06
1325.427514253624,1.4644534e+06
1325.4289031236783,1.4644499e+06
1325.4302919937318,1.4646438e+06
1325.4316808637868,1.464602e+06
1325.433069733841,1.4646718e+06
1325.4344586038947,1.4643744e+06
1325.4358474739497,1.4645791e+06
1325.4372363440045,1.464418e+06
1325.438625214058,1.4641632e+06
1325.440014084229,1.4646131e+06
1325.4414029542838,1.4646336e+06
1325.4427918243373,1.4646615e+06
1325.444180694508,1.4643145e+06
1325.445569564563,1.4642214e+06
1325.446958434733,1.4644325e+06
1325.4483473047871,1.4640404e+06
1325.4497361749586,1.4641686e+06
1325.4511250450128,1.4641155e+06
1325.4525139151838,1.4640775e+06
1325.4539027853543,1.4641028e+06
1325.4552916554094,1.4641918e+06
1325.45668052558,1.4641824e+06
1325.45806939575,1.4641991e+06
1325.4594582659213,1.4640354e+06
1325.460847136092,1.46433e+06
1325.462236006262,1.4640829e+06
1325.4636248764332,1.4639166e+06
1325.4650137466042,1.4640882e+06
1325.466402616774,1.4641762e+06
1325.4677914869453,1.4641141e+06
1325.469180357116,1.4641135e+06
1325.470569227286,1.4640378e+06
1325.4719580975739,1.4639715e+06
1325.4733469677453,1.463887e+06
1325.4747358379152,1.4639149e+06
1325.4761247082024,1.4642045e+06
1325.4775135783739,1.464272e+06
1325.4789024486602,1.4642331e+06
1325.480291318831,1.4641181e+06
1325.4816801891186,1.4639078e+06
1325.483069059405,1.4640295e+06
1325.4844579295757,1.4638956e+06
1325.4858467998633,1.4642045e+06
1325.4872356701499,1.4643984e+06
1325.4886245404368,1.4642038e+06
1325.4900134106083,1.4642815e+06
1325.4914022808962,1.4640128e+06
1325.4927911511832,1.4641394e+06
1325.4941800214697,1.4641805e+06
1325.4955688917576,1.4641704e+06
1325.4969577620445,1.4639651e+06
1325.498346632331,1.4640872e+06
1325.4997355027353,1.4638426e+06
1325.5011243730223,1.4639229e+06
1325.5025132433088,1.4642269e+06
1325.5039021135965,1.4641006e+06
1325.505290984,1.4643898e+06
1325.5066798542864,1.4638921e+06
1325.508068724574,1.4642811e+06
1325.5094575949784,1.4641135e+06
1325.5108464652649,1.4640468e+06
